Name,Mean,Range,SumList,Sd,Area_m2,Area_km2
01Porpoise_BalticBlekinge__TotalSkydd.tif,0.1488300105981951,0.6399999856948853,567.3400004003197,0.15579641246781212,238250000,238,3
01Porpoise_BalticBottniskaVikenHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,326500000,326,5
01Porpoise_BalticEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.448943912179585,0.699999988079071,73240.7098329775,0.12847159400585273,10196250000,10196,3
01Porpoise_BalticGavleborgsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,137750000,137,8
01Porpoise_BalticGOTLANDSHavNollBf__TotalSkydd.tif,0.15943538656483267,0.5099999904632568,2660.019989447668,0.16190932753411166,1042750000,1042,8
01Porpoise_BalticHALLANDSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,292562500,292,6
01Porpoise_BalticKALMARHavNollBf__TotalSkydd.tif,0.05030846229431915,0.5299999713897705,311.50999852642417,0.09765073565308334,387000000,387,0
01Porpoise_BalticNORRBOTTENSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,834750000,834,8
01Porpoise_BalticOstergotlandsHavNollBf__TotalSkydd.tif,0.04740068302966109,0.4699999988079071,263.68999969400465,0.06328081336795537,347687500,347,7
01Porpoise_BalticSkaneNorrNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1313750000,1313,8
01Porpoise_BalticSkaneSoder__TotalSkydd.tif,0.007940560181423476,0.49000000953674316,144.00999945029616,0.05963068925435263,1133500000,1133,5
01Porpoise_BalticSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.054617294380776164,0.46000000834465027,1143.8499962165952,0.07750789245180524,1308937500,1308,9
01Porpoise_BalticSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.07008488138500436,0.6299999952316284,437.60999936796725,0.09386008555224622,390250000,390,3
01Porpoise_BalticUppsalaHavNollBf__TotalSkydd.tif,0.03522372425527447,0.5699999928474426,369.98999957740307,0.08861984807186643,656500000,656,5
01Porpoise_BalticVasterbottensHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,778937500,778,9
01Porpoise_BalticVasterHavetNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1675687500,1675,7
01Porpoise_BalticVasternorrlandsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,174187500,174,2
01Porpoise_BalticVastragotlandHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1240250000,1240,3
02Porpoise_BeltseaBlekinge__TotalSkydd.tif,0.0,0.0,0.0,0.0,238250000,238,3
02Porpoise_BeltseaBottniskaVikenHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,326500000,326,5
02Porpoise_BeltseaEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.0020725143968554796,0.28999999165534973,338.10999870300293,0.022494311260343857,10196250000,10196,3
02Porpoise_BeltseaGavleborgsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,137750000,137,8
02Porpoise_BeltseaGOTLANDSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1042750000,1042,8
02Porpoise_BeltseaHALLANDSHavNollBf__TotalSkydd.tif,0.02865199736743064,0.41999998688697815,134.11999967694283,0.08378619739242466,292562500,292,6
02Porpoise_BeltseaKALMARHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,387000000,387,0
02Porpoise_BeltseaNORRBOTTENSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,834750000,834,8
02Porpoise_BeltseaOstergotlandsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,347687500,347,7
02Porpoise_BeltseaSkaneNorrNollBf__TotalSkydd.tif,0.38853520465913727,0.6899999976158142,8167.010001935065,0.1568329205734641,1313750000,1313,8
02Porpoise_BeltseaSkaneSoder__TotalSkydd.tif,0.13635752121390005,0.30000001192092896,2472.980004735291,0.06072831489833742,1133500000,1133,5
02Porpoise_BeltseaSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1308937500,1308,9
02Porpoise_BeltseaSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,390250000,390,3
02Porpoise_BeltseaUppsalaHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,656500000,656,5
02Porpoise_BeltseaVasterbottensHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,778937500,778,9
02Porpoise_BeltseaVasterHavetNollBf__TotalSkydd.tif,0.11147961629832731,0.6600000262260437,2988.8799925744534,0.18366915968832093,1675687500,1675,7
02Porpoise_BeltseaVasternorrlandsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,174187500,174,2
02Porpoise_BeltseaVastragotlandHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1240250000,1240,3
03Grey_SealsBlekinge__TotalSkydd.tif,0.29685467354619066,0.5699999928474426,1131.6100155580789,0.2535849472923372,238250000,238,3
03Grey_SealsBottniskaVikenHavNollBf__TotalSkydd.tif,0.012582312279222548,0.05000000074505806,65.72999934665859,0.016303322239245015,326500000,326,5
03Grey_SealsEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.006975113334282876,0.9100000262260437,1137.9199893549085,0.050413650989399844,10196250000,10196,3
03Grey_SealsGavleborgsHavNollBf__TotalSkydd.tif,0.3744010884608877,0.75,825.1799989677966,0.24983635965176804,137750000,137,8
03Grey_SealsGOTLANDSHavNollBf__TotalSkydd.tif,0.0733541113542613,0.44999998807907104,1223.8399938344955,0.08187015069767208,1042750000,1042,8
03Grey_SealsHALLANDSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,292562500,292,6
03Grey_SealsKALMARHavNollBf__TotalSkydd.tif,0.1837047797754691,0.4699999988079071,1137.4999963697046,0.17025990901217536,387000000,387,0
03Grey_SealsNORRBOTTENSHavNollBf__TotalSkydd.tif,0.10958370839628578,0.20999999344348907,1463.600009340793,0.07556931673182676,834750000,834,8
03Grey_SealsOstergotlandsHavNollBf__TotalSkydd.tif,0.7644634181842859,0.9599999785423279,4252.709995359182,0.17828393674700083,347687500,347,7
03Grey_SealsSkaneNorrNollBf__TotalSkydd.tif,0.01159847769345716,0.5600000023841858,243.8000011164695,0.064384163648637,1313750000,1313,8
03Grey_SealsSkaneSoder__TotalSkydd.tif,0.4897088635134431,0.6000000238418579,8881.359948679805,0.12231136226096453,1133500000,1133,5
03Grey_SealsSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.8157923871210422,0.9800000190734863,17085.139963475987,0.14656051603241044,1308937500,1308,9
03Grey_SealsSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.901330880844616,1.0,5627.910019993782,0.06801437839793942,390250000,390,3
03Grey_SealsUppsalaHavNollBf__TotalSkydd.tif,0.5056388025875689,0.6000000238418579,5311.229982379824,0.13068452627805655,656500000,656,5
03Grey_SealsVasterbottensHavNollBf__TotalSkydd.tif,0.438577389190187,0.6299999952316284,5465.990001477301,0.2222613744240446,778937500,778,9
03Grey_SealsVasterHavetNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1675687500,1675,7
03Grey_SealsVasternorrlandsHavNollBf__TotalSkydd.tif,0.0354754215044213,0.1899999976158142,98.86999973282218,0.04389525029360881,174187500,174,2
03Grey_SealsVastragotlandHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1240250000,1240,3
04Harbour_SealsBlekinge__TotalSkydd.tif,0.13310335757668204,0.7799999713897705,507.389999082312,0.1837957938001146,238250000,238,3
04Harbour_SealsBottniskaVikenHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,326500000,326,5
04Harbour_SealsEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.009366433738767497,0.4000000059604645,1528.0400001425296,0.043215916542593456,10196250000,10196,3
04Harbour_SealsGavleborgsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,137750000,137,8
04Harbour_SealsGOTLANDSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1042750000,1042,8
04Harbour_SealsHALLANDSHavNollBf__TotalSkydd.tif,0.7220337558438242,1.0,3379.8400111049414,0.1870332045583836,292562500,292,6
04Harbour_SealsKALMARHavNollBf__TotalSkydd.tif,0.1810642770071603,0.8600000143051147,1121.1500032283366,0.27882616525200454,387000000,387,0
04Harbour_SealsNORRBOTTENSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,834750000,834,8
04Harbour_SealsOstergotlandsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,347687500,347,7
04Harbour_SealsSkaneNorrNollBf__TotalSkydd.tif,0.5619048521528773,0.7099999785423279,11811.239992253482,0.16270223565384317,1313750000,1313,8
04Harbour_SealsSkaneSoder__TotalSkydd.tif,0.2728633644341943,0.4300000071525574,4948.649977378547,0.15435406623911363,1133500000,1133,5
04Harbour_SealsSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1308937500,1308,9
04Harbour_SealsSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,390250000,390,3
04Harbour_SealsUppsalaHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,656500000,656,5
04Harbour_SealsVasterbottensHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,778937500,778,9
04Harbour_SealsVasterHavetNollBf__TotalSkydd.tif,0.17779008555822629,0.5799999833106995,4766.729983901605,0.19089417893920807,1675687500,1675,7
04Harbour_SealsVasternorrlandsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,174187500,174,2
04Harbour_SealsVastragotlandHavNollBf__TotalSkydd.tif,0.8419759119230997,0.9700000286102295,16708.169996201992,0.07930505940951989,1240250000,1240,3
