Name,Mean,Range,Sd,Sum
01Porpoise_BalticBLEKINGEHavNollBf,0.485803372,1,0.250468431,30335.01996
01Porpoise_BalticBottniskaVikenHavNollBf,5.64E-05,0.129999995,0.002337117,20.73999995
01Porpoise_BalticEgentligaOstersjonHavNollBf,0.151101695,0.860000014,0.213594477,110727.0198
01Porpoise_BalticGavleborgsHavNollBf,0,0,0,0
01Porpoise_BalticGOTLANDSHavNollBf,0.078005517,0.50999999,0.113657094,15155.76998
01Porpoise_BalticHALLANDSHavNollBf,0,0,0,0
01Porpoise_BalticKALMARHavNollBf,0.175444378,0.689999998,0.144780827,24989.42001
01Porpoise_BalticNORRBOTTENSHavNollBf,0,0,0,0
01Porpoise_BalticOstergotlandsHavNollBf,0.06983584,0.469999999,0.071783889,2637.559999
01Porpoise_BalticSkaneNorrNollBf,0,0,0,0
01Porpoise_BalticSkaneSoder,0.093989607,0.540000021,0.172538054,5986.949983
01Porpoise_BalticSTOCKHOLMSHavNollBf,0.042164096,0.579999983,0.07565508,6375.379977
01Porpoise_BalticSODERMANLANDSHavNollBf,0.092410001,0.639999986,0.102165177,2487.399995
01Porpoise_BalticUppsalaHavNollBf,0.008669277,0.569999993,0.04355243,465.0199994
01Porpoise_BalticVasterbottensHavNollBf,0,0,0,0
01Porpoise_BalticVasterHavetNollBf,0,0,0,0
01Porpoise_BalticVasternorrlandsHavNollBf,0,0,0,0
01Porpoise_BalticVastragotlandHavNollBf,0,0,0,0
02Porpoise_BeltseaBLEKINGEHavNollBf,0.000687187,0.029999999,0.003093653,42.90999904
02Porpoise_BeltseaBottniskaVikenHavNollBf,0,0,0,0
02Porpoise_BeltseaEgentligaOstersjonHavNollBf,0.001155871,0.300000012,0.01345583,847.0200008
02Porpoise_BeltseaGavleborgsHavNollBf,0,0,0,0
02Porpoise_BeltseaGOTLANDSHavNollBf,0,0,0,0
02Porpoise_BeltseaHALLANDSHavNollBf,0.112851652,0.449999988,0.142611062,5490.119999
02Porpoise_BeltseaKALMARHavNollBf,0,0,0,0
02Porpoise_BeltseaNORRBOTTENSHavNollBf,0,0,0,0
02Porpoise_BeltseaOstergotlandsHavNollBf,0,0,0,0
02Porpoise_BeltseaSkaneNorrNollBf,0.373501224,0.689999998,0.14914979,10374.37
02Porpoise_BeltseaSkaneSoder,0.075648529,0.300000012,0.065589175,4818.660001
02Porpoise_BeltseaSTOCKHOLMSHavNollBf,0,0,0,0
02Porpoise_BeltseaSODERMANLANDSHavNollBf,0,0,0,0
02Porpoise_BeltseaUppsalaHavNollBf,0,0,0,0
02Porpoise_BeltseaVasterbottensHavNollBf,0,0,0,0
02Porpoise_BeltseaVasterHavetNollBf,0.095043952,0.660000026,0.173666453,5773.729981
02Porpoise_BeltseaVasternorrlandsHavNollBf,0,0,0,0
02Porpoise_BeltseaVastragotlandHavNollBf,0,0,0,0
03Grey_SealsBLEKINGEHavNollBf,0.375562672,0.569999993,0.187636479,23451.25992
03Grey_SealsBottniskaVikenHavNollBf,0.054384925,0.529999971,0.112739278,19997.49996
03Grey_SealsEgentligaOstersjonHavNollBf,0.08266832,0.920000017,0.165294859,60579.17991
03Grey_SealsGavleborgsHavNollBf,0.370230282,0.790000021,0.24080116,32009.73996
03Grey_SealsGOTLANDSHavNollBf,0.11957857,0.449999988,0.138856063,23233.03998
03Grey_SealsHALLANDSHavNollBf,0,0,0,0
03Grey_SealsKALMARHavNollBf,0.148446379,0.469999999,0.142645552,21143.96003
03Grey_SealsNORRBOTTENSHavNollBf,0.072714945,0.230000004,0.063826713,8070.049983
03Grey_SealsOstergotlandsHavNollBf,0.672545275,0.959999979,0.188534281,25400.68996
03Grey_SealsSkaneNorrNollBf,0.080395665,0.589999974,0.175977306,2233.069986
03Grey_SealsSkaneSoder,0.191850921,0.600000024,0.241643201,12220.51995
